"","date","stockID","factorscore"
"231",2015-11-09,"EQ000788",-10.2043855533576
"232",2015-11-09,"EQ000789",-1.85460397227866
"233",2015-11-09,"EQ000790",-9.47934069672963
"234",2015-11-09,"EQ000791",-3.06306273484138
"235",2015-11-09,"EQ000792",-2.0898560712431
"236",2015-11-09,"EQ000793",-3.04607199544075
"237",2015-11-09,"EQ000795",-4.44360116641493
"238",2015-11-09,"EQ000796",-8.2154952664814
"239",2015-11-09,"EQ000797",-9.84544828810387
"240",2015-11-09,"EQ000798",-4.61052936499078
"241",2015-11-09,"EQ000800",-3.2652453167433
"242",2015-11-09,"EQ000801",-6.74625260100678
"243",2015-11-09,"EQ000802",-13.6443074767863
"244",2015-11-09,"EQ000803",-20.0550718042794
"245",2015-11-09,"EQ000807",-1.8892541960788
"246",2015-11-09,"EQ000809",-1.25820539555898
"247",2015-11-09,"EQ000810",-5.96978990272664
"248",2015-11-09,"EQ000811",-3.43837632800902
"249",2015-11-09,"EQ000812",-9.76726510043449
"250",2015-11-09,"EQ000813",-4.9353191378202
"251",2015-11-09,"EQ000816",-3.82408578973102
"252",2015-11-09,"EQ000819",-11.1549372584685
"253",2015-11-09,"EQ000821",-4.79609014965966
"254",2015-11-09,"EQ000823",-2.02497976784134
"255",2015-11-09,"EQ000825",-1.05791997083973
"256",2015-11-09,"EQ000826",-6.11067995325087
"257",2015-11-09,"EQ000828",-3.19323806903402
"258",2015-11-09,"EQ000829",-5.61400989565033
"259",2015-11-09,"EQ000830",-1.51357094228381
"260",2015-11-09,"EQ000833",-2.65567777733257
"261",2015-11-09,"EQ000835",-13.9932834186144
"262",2015-11-09,"EQ000836",-5.36309187532989
"263",2015-11-09,"EQ000837",-3.92858442943899
"264",2015-11-09,"EQ000839",-5.53051700559488
"265",2015-11-09,"EQ000848",-7.34601663146223
"266",2015-11-09,"EQ000850",-2.36771152370439
"267",2015-11-09,"EQ000851",-3.04138975460554
"268",2015-11-09,"EQ000852",-3.50473747741756
"269",2015-11-09,"EQ000858",-2.43544380156707
"270",2015-11-09,"EQ000859",-3.7360246400527
"271",2015-11-09,"EQ000860",-2.13293976140826
"272",2015-11-09,"EQ000861",-5.82325695041639
"273",2015-11-09,"EQ000862",-2.74412809335606
"274",2015-11-09,"EQ000868",-5.32319441659873
"275",2015-11-09,"EQ000869",-3.60317197245704
"276",2015-11-09,"EQ000875",-3.81960875454253
"277",2015-11-09,"EQ000876",-2.10438027285133
"278",2015-11-09,"EQ000877",-1.15593581741687
"279",2015-11-09,"EQ000878",-3.3212997045806
"280",2015-11-09,"EQ000880",-3.57273095037479
"281",2015-11-09,"EQ000881",-4.93866614309203
"282",2015-11-09,"EQ000882",-2.00433392699083
"283",2015-11-09,"EQ000883",-2.26583937640515
"284",2015-11-09,"EQ000885",-3.88361718136419
"285",2015-11-09,"EQ000886",-2.22173361820387
"286",2015-11-09,"EQ000887",-8.49178854614631
"287",2015-11-09,"EQ000888",-3.37241217321009
"288",2015-11-09,"EQ000889",-4.22582265974133
"289",2015-11-09,"EQ000890",-4.36221639637925
"290",2015-11-09,"EQ000893",-2.54259093908477
"291",2015-11-09,"EQ000895",-4.25349100904079
"292",2015-11-09,"EQ000897",-6.82430268055475
"293",2015-11-09,"EQ000900",-1.30684227767158
"294",2015-11-09,"EQ000901",-12.5749370863886
"295",2015-11-09,"EQ000903",-2.01631830365063
"296",2015-11-09,"EQ000905",-3.03764294005323
"297",2015-11-09,"EQ000906",-4.00295011437529
"298",2015-11-09,"EQ000909",-5.53865226954369
"299",2015-11-09,"EQ000910",-3.3141848055645
"300",2015-11-09,"EQ000911",-3.46201480991635
"301",2015-11-09,"EQ000913",-2.14334259080476
"302",2015-11-09,"EQ000915",-6.71150985735474
"303",2015-11-09,"EQ000916",-1.47418285318555
"304",2015-11-09,"EQ000917",-5.79819252844987
"305",2015-11-09,"EQ000918",-2.38585414205506
"306",2015-11-09,"EQ000919",-3.67985665859598
